end_time_d,realvalue,Moving_variance,is_anomaly
2018-03-26 14:13:00,0.8240833333333333,0.0012095752006036314,False
2018-03-26 22:12:00,0.81772,0.00028717304153282313,False
2018-03-26 22:13:00,0.8260000000000001,0.0002793591163468305,False
2018-03-27 14:13:00,0.7968461538461538,0.00026977614877793973,False
2018-03-27 14:14:00,0.7892916666666667,0.00026907897269278847,False
2018-03-27 14:15:00,0.8551818181818182,0.0002909171221990573,False
2018-03-27 22:12:00,0.8031578947368421,0.00028845066045833493,False
2018-03-27 22:13:00,0.8020000000000003,0.0002907056882763308,False
2018-03-27 22:14:00,0.8578888888888888,0.0003198612412378042,False
2018-03-28 06:12:00,0.8468749999999999,0.0003356728201376781,False
2018-03-28 06:13:00,0.7906086956521738,0.0003319500306913036,False
2018-03-28 06:14:00,0.8363529411764706,0.00028798310789433345,False
2018-03-28 07:13:00,0.8113600000000001,0.0002864576053023323,False
2018-03-28 07:14:00,0.8262400000000001,0.00028586087279169594,False
2018-03-28 14:13:00,0.8266190476190477,0.00027906372200213345,False
2018-03-28 14:14:00,0.8148695652173915,0.00026255492390405506,False
2018-03-28 14:15:00,0.8783999999999998,0.0003269989552641717,False
2018-03-28 14:34:00,0.8139583333333332,0.0003261217224811889,False
2018-03-28 14:35:00,0.8080400000000002,0.00032744475622243973,False
2018-03-28 22:12:00,0.8141739130434782,0.00032757097215894434,False
2018-03-28 22:13:00,0.8063600000000002,0.0003294192619429604,False
2018-03-29 06:13:00,0.8003999999999999,0.00032519747466182867,False
2018-03-29 06:14:00,0.8293750000000002,0.0003213026472017272,False
2018-03-29 06:26:00,0.8168421052631579,0.0003035506368769335,False
2018-03-29 06:27:00,0.8203181818181818,0.00029946120606917626,False
2018-03-29 06:28:00,0.8751999999999999,0.0003563126685032006,False
2018-03-29 14:12:00,0.81515,0.0003558143819968389,False
2018-03-29 14:13:00,0.7958695652173913,0.00036323206888709065,False
2018-03-29 14:14:00,0.8321428571428571,0.00036634219870085663,False
2018-03-29 22:12:00,0.804625,0.0003664763580200285,False
2018-03-29 22:13:00,0.8268461538461538,0.0003679638312990003,False
2018-04-02 22:42:00,0.8215624999999999,0.00036789106830462744,False
2018-04-02 22:43:00,0.7819565217391302,0.00038877076473150266,False
2018-04-02 22:44:00,0.8458,0.0004017517757784558,False
2018-04-03 06:12:00,0.7905199999999998,0.00041334738328738853,False
